sentence,avg_nll,p95,human_label
Who has not lent a facial artery to a bed frame?,5.920778,10.769846,-3
Who is comparing four superior gluteal deep branch arterys?,6.175896,12.049267,2
Who manducated a fruit or vegetable?,5.490992,7.757669,2
Felix doesn't play zero berries.,6.840866,11.250721,-2
Sue was sculpturing a kyasanur forest disease virus.,4.751792,12.297821,1
Who is suspiring a right ossa coxae?,7.053529,10.790234,-2
Norman is smelling a planing hull water vehicle.,7.445921,12.026727,1
Alcyon processed a proper hepatic artery.,6.413829,11.68328,2
Who doesn't bind Claudia?,7.525358,15.459903,2
Who will wink a motor scooter?,7.052501,9.243856,-3
A grape vine will be firing a thermometer.,6.511577,11.147586,-2
A Poplar tree was nodding a neck.,5.507645,10.501358,-3
Kevin isn't pulling a npn transistor.,6.297584,10.170012,2
Who infects a microorganism?,4.702238,7.757669,2
Susan has a walnut tree.,5.629604,10.101236,2
A mosquito sat an auditorium.,6.775751,9.487732,-3
Who isn't barfing zero left common carotid arterys?,5.848559,12.319068,-2
Valentine reproduces a cell.,6.27182,9.093616,2
Who paints a wall?,5.507903,7.757669,2
Who is performing two superficial circumflex iliac arterys?,5.046625,8.960491,2
Lily gets a factual text from a jaw.,6.36878,13.153385,-2
5 animals bellows a dress.,7.710291,11.631037,-1
Who will study a mylohyoid branch artery?,5.537237,8.742984,2
A vibrio cholera will tramp a mobile cell phone.,5.796468,11.139407,-3
Alcyon includes a chin.,6.866102,11.127406,-1
A Fir tree will vandalize a vehicle.,6.096196,13.828206,-3
A monkey swung Austin.,9.129098,10.77755,1
Who releases a controller?,7.04589,10.672493,2
A calf was designing a bed linen.,6.588027,11.951221,-3
Anthony was affixing a human corpse.,6.027441,10.345756,-1
Who produces some cocoa bean?,7.420171,9.664556,2
Inna evacuates a nail.,7.022269,9.77951,-2
Patricia searches 10 clostridium tetanis.,5.678583,12.569065,2
Who will be setting a petroleum tanker ship?,6.523598,10.033049,2
Eugene operated a device.,5.86656,9.186789,2
Who will judge a vehicle brake?,6.318932,8.380563,2
Thomas isn't calling Megan.,7.198214,10.021765,2
A west nile virus is tying a portabello mushroom to Ignatius.,5.039206,13.928419,-2
Megan befriends Mona.,6.580423,8.605835,2
Pauline was mashing a fruit or vegetable.,5.238554,8.724685,2
Annabel isn't stealing a heliport from 4 cashew nuts.,5.451309,11.336988,-2
Alba will be voting eight ballots.,6.568042,8.179515,2
Phoebe was driving a vehicle.,4.384563,7.507792,2
A botanical tree wasn't committing a plant spinose structure.,7.461453,12.38093,-2
Oren transforms a safety device.,7.274529,10.500221,2
Who unveils a temporal lobes?,6.861913,11.283567,2
Who interchanges four organisms?,7.992565,9.928308,2
Albert will perceive Eric.,9.289877,10.895362,2
Jacinta drove a vehicle.,6.499572,10.495999,2
Aileen will not be translating a text.,5.392014,9.074667,2
Who evacuates Sheila?,7.927545,13.322331,2
Ignatius won't forgive five left lunates a dual gauge railway.,7.312062,11.169743,-3
Derrick decreased a factual text.,7.591354,11.406095,1
Eileen was storing six cytomegaloviruss.,5.809182,13.119707,2
Robert will be evacuating a building.,5.165252,8.650376,2
Alphonso is ironning a clothing.,6.354961,12.014768,2
Who was directing a lumbar artery?,6.314232,11.935943,-2
Mary wasn't intending to a left proximal phalanx III bone to play.,5.971119,10.499856,-3
Winnie will be pipping a device.,6.009315,8.071486,-1
Milton was revealing a navicular bone.,5.909433,13.326789,2
An Aegilops grass was recollecting a rope.,5.315308,9.393049,-3
An organism doesn't befriend Adam.,6.779084,9.170115,2
Who was searching a tea tree?,6.516836,9.580213,2
Matilda protects a hand tool.,6.850362,9.741161,2
Caitlin will be moving to Veronica.,4.971505,6.540761,2
Megan will be inheritting a long posterior ciliary artery from a compass.,5.865443,14.977832,-3
Mona drives Malcolm.,7.989687,10.864035,2
Ruby is studying 6 testicular arterys.,6.881153,10.818777,2
Who drinks a face?,7.2335,9.892046,-2
Who has not squeezed an odometer?,5.46074,11.227343,-1
Ada will be smoothing a hair.,7.528718,11.882649,2
Gordon was granting Victor a water catchment.,6.842123,11.434908,2
A queen insect wasn't suffering a drill.,7.211442,11.922731,-2
Who compounds a blade?,7.867291,9.834618,-1
Richard doesn't take a vehicle.,5.690786,9.232224,2
Wallace relinquishes Deborah.,7.935788,13.37607,2
Who gave Molly a tongue?,6.423709,7.757669,1
Who has not massaged a bedroom?,5.635037,11.491499,-3
Augusta will not download a calf.,7.026614,12.241101,-2
Who refinances an armor?,7.337827,13.343202,2
Arnold will be harming 8 organs.,6.668791,12.414847,2
Grace was not processing a vaccinia virus.,6.958193,13.505514,2
Who doesn't borrow a wearing friction surface from a night club?,6.320018,14.332576,-3
Who is not lessenning an anterior interventricular diagonal artery?,6.178256,10.220717,-2
A coffee plant doesn't toy a flower.,6.086328,9.191854,-3
Who will penalise Kevin?,6.415604,8.202612,2
Pete will be raising 3 domestic animals.,5.515069,8.502577,2
Daniel was reproducing a cell.,6.162242,9.369899,2
Carl grinds a forearm.,7.667973,11.079349,2
Who was punishing a gun barrel?,7.065381,8.981411,-1
Mariam vandalises a vehicle.,5.879356,10.350788,2
Alice will watch a motion picture shot.,6.449333,7.851718,2
Veronica is choosing an arcuate artery.,6.365688,9.604378,2
Albert befriended Susan.,6.39473,9.866722,2
Penny is writing eight texts.,6.328398,8.235409,2
Who shoots a pectoral artery with a pistol?,4.59701,7.863142,2
Sarah purchases a product from Roy.,6.524886,10.539838,2
Larry will drink a lateral cuneiform bone.,6.222757,10.535382,-1
Who will remember?,5.53946,6.308733,2
Who isn't taking a vehicle?,5.678508,7.757669,2
Who was seeing an electrical component?,6.798642,8.466516,2
Tommy was penalising Victor.,6.794182,8.821241,2
Who placed an article?,6.833952,7.757669,2
Who voided a nipah virus?,6.129837,14.312127,2
Who will compare Barbara?,7.892385,11.345983,2
Melinda ate a displacement hull water vehicle.,8.368987,12.661564,-1
Who will interview a fluorescent light bulb?,5.776009,9.291215,-1
Who is questioning 8 throats?,6.187017,12.355579,-2
Who will not be planning a right II metacarpal?,5.30247,10.222105,-2
Who planned?,8.456679,7.757669,2
Who compounded five C5 vertebra bones?,7.649488,9.70635,-1
Madeline eats a PATELLA.,5.443859,9.638204,-1
Who will not bind a chin?,6.655124,10.300258,-1
Vanessa drills a foot and mouth virus.,5.844447,9.574541,-3
Andrea isn't ascertaining 8 factual texts.,6.269529,11.343106,2
Carmen will melt a generator.,6.678474,10.463475,2
Who will be breaking a kitchen?,6.02373,9.931073,2
Harold doesn't hear a lateral femoral circumflex transverse branch artery.,5.3033,11.415385,-2
A guinea pig is regarding a government building.,5.026111,10.89058,-2
Bernice will drill a gas pedal.,7.08261,11.514914,2
Geoffrey disbursed a flowering plant.,5.889188,10.694098,2
Who was planning?,6.97569,7.757669,2
Marshela doesn't vote a ballot.,7.403092,11.461607,-3
Patricia has not acquired Alain.,5.95612,9.07439,2
Mariam wasn't stealing a stock.,6.684227,10.773495,2
Edward doesn't farm a zygote.,6.187254,11.153951,2
Wallace released a guanarito virus.,5.57758,9.799093,2
Elaine is storing a revolver gun.,6.350514,12.555714,2
Who has not fired a thermometer?,5.683027,10.570768,2
Aaron specifies to an insurance policy to kick.,7.501536,10.406217,-2
Janice is taking a golf facility.,6.363332,9.226534,2
Tina doesn't close a doorway.,5.649057,8.581553,2
Rebecca will be paying a spore.,5.904489,9.008609,-2
Nicholas inflates a balloon.,5.041963,10.46324,2
Who will pestle a bone?,7.190287,10.449092,2
Alonso flew an airplane.,6.306952,7.372086,2
Who is borrowing a right II metacarpal?,5.973333,11.82132,-1
A deer hunted a posterior interosseous artery.,5.52816,10.365664,-2
Who ran a game goal?,7.118879,8.714568,2
Rachel will be infecting a bacterium.,5.638597,10.303604,2
Clement sculptured a left colic artery.,5.949763,9.692991,2
Alonso ran Janet.,8.544364,9.723814,-2
Geraldine is fortifying a weapon.,5.354924,8.205719,2
Isabel will sell a product.,5.772076,7.550151,2
Who will not locate a synagogue?,6.909817,11.187696,2
Who is not determining to Christopher?,7.708199,14.479233,-2
Murphy doesn't freeze a supreme intercostal artery.,5.776343,10.922229,1
Lora wasn't turning a bicycle.,6.40396,9.648417,2
Linda won't be investing a cable ship.,6.254125,9.966949,2
Who refinanced 8 superior gluteal deep branch arterys?,6.490161,13.554091,-2
Alban was not commanding an insurance policy.,6.307568,10.408377,2
An antelope will be toying a superficial palmar branch of the radial artery.,4.916946,9.837948,-3
Leonard is vandalising a vehicle.,5.555141,10.175774,2
Maurice is harming an animal.,5.087044,5.879274,2
An organism poisoned a crab.,7.56935,8.836499,2
Alice has not recollected.,5.707363,10.414252,2
Ignatius is analyzing four united states five cent coins.,5.912218,11.81798,2
Alvin will hear a hen.,6.818148,9.172339,2
Lindsay isn't drinking a brake pedal.,5.993009,9.64246,-1
Who was choking a screw?,7.566328,11.705962,-3
Herbert has not waved to 9 arms.,6.356133,11.622168,1
Pauline will question a rutabaga.,5.838717,11.303673,-1
Mathew will be locating a portable computer.,6.053035,8.097296,2
Who is befriending Janice?,4.776012,10.489312,2
Simon matched a currency.,8.521662,10.518305,2
Who will not be infecting a microorganism?,4.52213,7.757669,2
Lydia loaned a vehicle to Ursula.,5.921027,10.46757,2
Who will smell a horse?,5.797815,7.757669,2
A salmon has not readed 5 books.,5.562364,9.626898,-3
Mike won't be downloading a palisade.,5.819476,10.593309,-1
Lilita forgives a gonadal artery.,6.422083,12.375984,-2
Alison was choosing.,7.162163,7.372086,2
Who will be driving a vehicle?,4.873375,7.757669,2
Vincent doesn't produce a left false rib 10 bone.,6.763282,10.775113,2
Who won't be smelling a tachometer?,5.598878,8.437881,2
Kenneth has not winked Evan.,7.070016,13.413019,-3
Phil will give a body junction to a external gear.,6.927935,11.177106,-1
Jeffrey will be nodding a domestic animal.,6.286007,13.675672,-2
Marshela uploaded a ship cabin.,9.282357,13.154691,2
Who is pushing a party platform?,5.423225,7.921021,2
Eric will be questioning a N95 mask.,5.845223,9.510351,2
Who was dreaming 8 microorganisms?,6.683222,11.766306,2
Who doesn't lose an airbag?,5.178872,7.757669,2
Doris is hunting 2 organisms.,6.27771,10.222139,2
Doreen doesn't hear a different Doreen.,4.149842,7.9382,-2
Who was drinking a medial femoral circumflex descending acetabular branch artery?,5.449983,11.73111,-2
An elephant will be lifting a party platform.,5.662354,8.901663,2
Who presented Peter a medulla?,7.748702,9.380711,1
Dorothy was dodging a bullet.,4.025125,5.995376,2
Helen will fortify a weapon.,6.078065,8.122538,2
Who performs a crocodile?,6.481349,9.234468,-3
Who guides an ulna?,7.416234,10.726387,-2
Who doesn't dump a baseball bat?,5.445856,9.840036,2
Irene vandalized a vehicle.,5.516861,6.933046,2
Bob was forgiving a clover.,7.354288,12.525616,-1
A bacterium egested a Birch tree.,5.935328,10.956717,2
Tony is storing an unpowered vehicle.,6.547419,9.942848,2
Who pips Pauline?,6.279094,7.757669,-2
Lorna was posting 9 messages.,6.084347,6.809931,2
Who will loan a baseball dugout an intestine?,6.328736,10.493846,-1
Terence invests an ice breaker ship.,6.323943,9.628127,2
Who will be cutting a wheelchair?,5.834732,9.446661,2
Who will be mailing a long posterior ciliary artery?,6.045905,13.969738,-1
Boris will shoot a device.,7.040865,9.406653,2
Brandon injected 6 preferred stocks with a hypothalamus.,6.720633,14.504009,-1
A sunflower borrows a veil from an Eustachian tube.,4.347343,9.58806,-3
Who replaces Samantha?,7.682005,7.852821,2
Who borrows an endomembrane from Jessie?,6.049676,13.231891,-2
Molly will be painting a wall.,4.830968,6.960883,2
Who will not be treating an animal?,5.497169,7.757669,2
A senepol cattle toyed a multi modal transportation point.,6.526561,12.728085,-2
Who forgives an embassy building?,6.806184,9.42645,-1
John will be playing a game artifact.,6.345365,7.854876,2
Who punished a chemical tanker ship?,7.087261,9.245022,-1
Who puted a boxcar?,7.292797,8.023944,-3
A goose wasn't borrowing a chapter from a library building.,5.961435,11.514527,2
Phyllis doesn't act Gerald.,6.375767,11.170359,-1
Adeline observed Dalton.,8.540265,10.722214,2
Rebecca fortified a weapon.,7.236452,8.68098,-2
Neville will not attack a blackberry.,5.268302,6.854926,2
A hominid famished Clarice.,6.305691,11.701273,1
Who is awarding a title a motor?,5.985492,9.665543,-1
Who will suffer a stock?,6.925006,7.757669,1
Martin will disburse an urethra to Alonso.,6.616423,12.994924,-2
A clostridium perfringens was raping a ships hull.,4.321615,13.234896,-3
Who is infecting a microorganism?,4.719604,8.446874,2
Who has not sought a basement?,5.764897,8.429698,2
Norman doesn't produce a guided missile.,5.775319,10.578524,2
Elton will be massaging a weather assessment.,6.90186,13.149746,2
Who caught Barbara?,8.127706,9.563113,2
Frances was not computing Pamela.,7.768437,13.673711,-2
Ursula starts a computer memory.,6.054598,8.500882,2
Randy fishes a gear.,7.099096,8.877671,2
An animal doesn't massage a saddle.,5.952812,7.288754,2
Who will be interpretting 8 texts?,6.449967,10.80753,2
Lionel will be smelling a game artifact.,6.625582,13.913623,-1
Who will find a factual text?,6.061675,7.757669,2
Hardy will be hunting Augusta.,6.769168,9.552941,2
Who is not dodging a bullet?,4.696517,7.757669,2
Rose smooths a hair.,6.631031,9.987207,2
Kristin has not massaged some bird egg.,6.591073,11.64932,2
Barbara will be recalling a right ossa coxae.,6.158539,10.513695,2
0 organisms has not befriended a treasury bond.,6.540228,12.948796,1
Rodney is spewing a hair dryer.,5.590056,10.239841,-1
Cnythia is searching a broom.,5.920733,10.718236,-3
Caitlin will present a factual text to Gloria.,5.612576,11.046785,2
Amadeus was inspecting a posterior inferior cerebellar artery.,4.058246,10.771646,2
Who buried a human corpse?,6.050519,7.757669,2
Richard shares a factual text.,7.953147,10.154713,2
Who doesn't bear Deborah?,7.412669,13.983065,-3
Audrey will be winking from an eye Doris.,5.971649,10.089516,-1
Who will be working a bacterium?,6.057212,7.806811,-3
Who is selling a currency?,5.707071,8.016434,2
Who will be lubricating a machine?,5.462464,7.757669,2
Who produced a tooth?,7.356035,8.870668,2
Kelly doesn't see an exercise center.,6.149597,9.241622,2
Who sought a poultry?,8.800094,12.159459,2
Louis planned.,10.391065,9.710058,2
Who was photocopying a text?,5.304956,7.757669,2
Rebecca emptied an aerator.,6.538854,8.52306,2
An organism befriends a hominid.,5.028388,8.836497,2
Who supports Aileen?,6.508997,7.757669,2
Peggy will be borrowing a factual text.,5.788454,12.25323,2
Frank is working a pay check.,5.813839,8.007109,-3
Who was stealing a baseball dugout from Amy?,6.006155,10.72923,2
Dora will not toy a hen.,6.888711,8.996803,2
Joan is seeing an eye.,5.997343,9.460877,2
Lisa deduced an upper leg.,8.05238,12.124447,-1
Teresa selected a toll booth.,6.519722,10.441212,2
Frank doesn't set a pharyngeal artery.,5.765742,10.520105,-2
Who will be strangling Larry?,5.575451,8.570179,2
Who will combine a lyrics?,7.399813,10.405264,2
Alice imbibed a kennel.,6.938951,14.189144,-1
Who bombs a sheep?,7.686703,9.738752,2
Isabel is charging Denis.,7.572837,11.499583,2
Who is taking a vehicle?,5.511444,7.757669,2
Mike borrows nine factual texts from a library building.,7.013812,14.808839,2
Deborah kicks a leg.,6.676767,7.786299,2
Nicholas is not intending to an insurance policy to shoot.,5.573971,10.476208,-1
A bacterium doesn't infect a cell with an E. coli.,3.973351,8.491395,2
Richard waters a goat.,7.976354,9.056335,2
Who doesn't buy a product from Desmond?,5.558363,9.802879,2
Byron was killing an organism.,6.52223,8.51138,2
Kelly evacuates a stationary artifact.,7.781214,10.635643,2
Who was pouring a bottle?,6.751868,7.757669,2
Zero hominids was not befriending a hominid.,5.221709,13.402245,2
Doreen will examine a malarial plasmodium.,4.059766,8.47383,2
Mary disburses an air conditioner.,6.627948,8.919959,2
Wallace compares a porous container.,7.217069,9.799093,2
Who was soldering a barricade?,6.002587,11.817023,2
Sue makes a home base.,5.631866,6.481736,2
A botanical tree fired a thermometer.,8.069551,11.087452,-2
Melvin was massaging Stella.,6.477053,9.131676,2
Cindy will invest a tent.,7.096431,9.708069,2
Who will evacuate a time_phased force and deployment data file?,5.43951,10.457884,-1
Who will spray a peach?,6.707682,9.300479,2
Who is hitting a vehicle wheel?,6.563118,10.157954,2
Duncan is operating a device.,5.648219,7.296453,2
Conan is not visitting a hand gun.,6.607304,10.092745,-1
Olga will not imbibe a bronchial duct.,5.490243,12.504647,2
Who likens an organism?,7.055394,8.385826,2
Lisa is boiling a research ship.,7.806071,13.314281,-1
Geoffrey immunizes a patent.,6.710006,10.311457,-2
Who won't plan a pulmonary vein?,7.102269,9.607322,2
Marshela was planning.,9.271819,11.461607,2
Who doesn't play a running track?,5.16612,9.354193,-1
Claire is discovering a place of worship.,4.84753,10.190979,2
0 bacteriums divided Ellen.,8.770501,14.640647,1
Harold was not borrowing a pitchers mound from Emil.,6.499135,14.42281,-1
Who designated a collarbone to a tool box?,6.381152,12.578502,-3
Carl will be dredging a motor hopper.,6.223831,13.09994,-1
Rachel will be running a vehicle.,6.159473,10.303604,2
Kate will not download a news feed.,6.025243,10.220131,2
Ethel will not be performing a mouth.,5.868814,9.361258,-1
Who drives a lung?,7.141509,8.988008,-1
A clostridium tetani infects a louse with a vaccinia virion.,3.602629,8.824945,2
Who was not inflating an ornamental fish?,5.64221,8.228577,2
Who will be playing a kitchen?,5.611454,7.757669,-1
Dominic was famishing Sebastian.,7.456934,12.969412,2
Harry has not painted a Spruce tree.,5.890755,10.009584,2
Alba will comprehend a cell nucleus.,6.948847,8.464041,2
Who wasn't observing a la crosse virus?,6.331901,11.078566,2
Jane will have to a throat.,6.514851,10.372383,-1
Who will be borrowing a calf?,6.092943,9.784575,2
Sally will be egesting a red blood cell.,4.780486,10.120489,2
A giardia lamblia is beckonning a device.,5.040929,13.287469,-2
Who plays a sprinkler?,5.592003,7.757669,-1
Lilian will recollect.,6.40489,7.3723,1
Carol is vandalizing a religious building.,6.01014,10.369539,2
A sorghum grass will trot a facial hair.,6.291235,12.686779,-1
Who peels a snake?,5.57538,7.757669,2
Robin doesn't taste a pancreas.,6.511556,10.518624,2
Gladys was inferring Evan.,6.790356,11.470016,1
Who will seek a rhinoceros?,4.512899,8.732903,2
Mildred will dodge a twin_sized bed.,6.454317,12.788197,2
Bill financed a revolver gun.,7.471621,10.422282,2
Who will inherit a wet bar?,5.852619,7.757669,2
Who noticed a musical instrument?,6.436003,9.425065,2
Carmen perceived a deltoid artery.,6.314297,14.941773,2
Who is melting some cocoa bean?,6.946888,9.087103,2
Ethel will visit a forty foot container.,6.25637,9.361258,2
Who is interviewing a report?,6.390584,9.393888,-1
Grace presses a hat.,9.094947,10.453485,2
An aloe vera plant is finding a single family residence.,4.996487,10.957857,-1
A tobacco will not be smoking some sugar.,6.101812,9.988136,-1
Adam will step a right proximal phalanx IV bone.,5.859149,9.721344,1
Who will roll a tire changer?,6.608187,9.22572,2
A domestic cat inherited an anatomical structure from an ear.,5.288965,9.590354,-3
Who spreads a hotel?,7.787549,8.977661,2
Who runs an insect?,6.919632,7.757669,-1
A coffee plant is buying some mint.,6.30309,9.967632,-2
Who will not communicate a table to a kufiyyah?,5.026185,8.723126,-1
Allan will get an anchor from a currency.,5.970937,9.128776,-3
Who doesn't smell 6 monkies?,6.191857,11.616798,2
Douglas downloads an art studio.,7.439133,10.404132,2
Who doesn't share a Poplar tree?,5.130286,10.226337,-1
Ten cottonwood trees will smell Caitlin.,7.296404,12.222519,-2
Caitlin won't be supporting a currency.,5.393182,8.805547,2
Who referred a golf course?,6.769052,10.597878,2
Alison will not be toying an organ.,5.660831,8.664242,-1
Who will wade a swimming pool?,5.052175,8.125612,1
Alba figures a spinal cord.,7.015692,11.982732,-1
Lydia will be choosing a vending machine.,5.32702,10.127499,2
Claudia protected an abnormal anatomical structure.,5.281474,10.190979,2
Rebecca advertized a vine.,7.365744,10.316389,2
Fiona was shooting a saw.,6.504212,10.256378,-1
Sylvia bombarded a prison.,5.863202,8.813461,2
A salmon doesn't hear an organ.,6.327544,9.084669,2
Elizabeth has not uploaded a picture frame.,6.180764,9.775999,-1
Who injects a respirator?,5.543455,10.165935,-1
A guinea pig was not performing a steering wheel.,5.241581,10.89058,-1
Gary will be singing a trousers.,7.548595,10.065096,-1
Richard will be smoothing a fabric.,7.608781,9.611021,2
Kristen will be tying seven right ossa coxaes.,6.620279,11.566814,2
Alice pares ten left gastric arterys.,7.64022,10.414252,2
Who mails ten left true rib 5 bones?,9.028055,13.329454,1
Tom will be painting a coin.,6.195823,8.821241,2
Kathleen wasn't raising a muscular ulnar artery.,5.196717,10.964178,1
A tobacco smokes a firearm.,5.934429,11.883497,-2
Sarah has not nodded a nail.,6.848897,9.574934,-1
A reptile doesn't immunise Richard.,6.659792,14.589903,2
Jack will be figuring a hominid.,6.060099,9.920859,1
Two algas starved a product.,7.175003,9.507319,2
Harry doesn't fall a skylight.,5.939569,10.009584,-1
A RNA virus will be plugging a deltoid muscle.,5.540034,11.971778,-1
Who will be tying a thorax bone to a pencil?,5.578963,13.016222,2
Who isn't uploading a motion picture?,5.549087,9.242117,2
7 horses is wading a board or block.,7.103637,9.420996,-1
Who auctions 3 birds?,7.490283,10.219706,2
Who is freezing a text?,6.710088,9.892517,2
Alvin sells Bridget a coin.,6.396947,10.765932,2
Who won't skin a snake?,5.446998,7.757669,2
Henry doesn't press a French press.,6.417019,10.392948,2
Who will get a Chevrolet engine?,5.468252,7.757669,2
Pete irons 8 muscular ulnar arterys.,5.786298,11.705098,-1
Two felines befriends a cocoa tree.,6.039267,8.971836,-1
Lucas haves a license.,5.920156,8.989245,2
A bacterium infected a worm with a lacrimal artery.,5.075596,10.956717,2
An elephant reckons a small intestine.,6.388807,8.871004,-1
Who puted an academic degree?,7.485841,9.742559,-1
Lucy steals a genetically engineered organism from an engine control module.,5.503279,11.751932,-3
Who matches Mark?,8.038871,8.015915,2
Who will be swarming a hominid?,5.185833,9.578743,-1
Thomas will see Alice.,7.343011,9.120198,2
Rachel will be hearing Arnold.,7.802457,10.303604,2
Who designed a Balsa tree?,6.219448,7.757669,1
A mammal is forgiving Sonya.,6.787417,14.721849,2
Ricky presents Felix a board or block.,7.170887,10.051142,2
Rachel will be setting a pollen.,7.457784,10.699474,-1
Who sends an electrocardiogram?,4.384218,8.670804,2
Who doesn't raise a lid?,5.67995,10.05691,1
A feline eats some RNA molecule.,6.661395,9.23793,-1
Nicholas wasn't pouring eight arteries.,7.929383,12.309858,-1
Hilda thinned a lentil.,6.724171,11.110587,1
Who won't bury an animal shell?,6.451792,10.029093,2
6 monkies will raise a drum.,6.964724,9.54764,2
Madeline is catching Penny.,6.808822,9.514629,2
An Escherichia coli will not upload an intelsat.,5.260481,11.774117,-2
Who is producing a party platform?,5.864087,9.534975,2
Who wasn't placing a left lacrimal bone?,6.439789,12.132723,2
5 primates will be communicating a painted picture to Felix.,6.715139,12.128193,2
Who turns a taillight?,5.230714,9.66132,1
Who is not envenomming an occipital lobes?,5.22769,9.68157,1
Pearl drives a vehicle.,5.690115,10.338684,2
Bill has not imbibed a fabric.,6.038061,11.511061,-1
Pete born Ursula.,7.352216,13.186875,-3
Stella catches Paul.,7.447647,8.291537,2
Sharon swops a salmon.,7.392913,9.006187,-3
Seven organisms inherits a salmon from Frances.,8.702834,12.034272,-3
Who was envisaging a bicycle?,6.276412,8.322314,1
Katherine steals a chain from Mary.,5.773307,8.848212,2
Vincent is running Alfred.,6.566086,10.147928,2
Mona is smelling Ursula.,6.580094,13.056518,2
A feline will analyze a performance stage.,6.687312,11.036375,2
Jack will be conveying a courtyard to Jane.,6.583355,12.413132,1
Who suffered an organism?,7.526169,9.885324,-1
Amselm is not communicating an ape to Jacinta.,6.767946,11.227324,1
Who is not acquiring a sail?,6.243862,9.376083,2
Who will inherit a multifunctional large load carrier ship from Adrian?,6.045255,9.965909,2
Rita infects a body junction with two nerve cells.,5.841155,13.0447,2
Deborah designs an auditorium.,6.564652,9.482686,2
Randy discovers a position report.,6.998744,10.576355,2
Vanessa paints a vegetable.,6.698673,10.411408,2
3 clostridium botulinums envenomed a projectile.,5.047116,11.836737,-2
Ursula will be eating 2 shoulder blades.,5.223944,8.880145,2
Who has not infected 3 vaccinia virions with 6 virus parts?,4.961119,11.738874,1
Max will not protect a trachea.,5.743846,8.912584,2
Melody will plan a passenger railcar.,6.700613,9.051794,2
Who delivers a product?,5.865839,7.757669,2
Murphy fished a wearable item.,6.662411,10.144148,1
Who doesn't pay a skunk?,5.335986,10.397318,-1
A pine tree sells a larch tree.,5.004032,8.60787,-2
Emma is guiding an organism.,7.395449,10.468538,2
Christine will be tying a VaccinationCard.,6.805042,14.016852,-1
Who buries zero plants?,7.304753,11.906865,2
Who will not seat a residence?,6.834879,11.232719,-1
Laura is slicing a pressure bandage.,6.703463,12.641116,2
Who replaces a back with a vessel to semilunar ganglion artery?,5.837353,11.177767,-1
Who was communicating a desk?,7.730426,12.347692,2
Milton wasn't freezing a shirt.,6.685169,9.992115,2
An anaconda charges a tire.,6.173596,9.084582,-1
Noel is exchanging two toes with a hotel.,6.635035,11.789274,-1
Who was disclosing a horse to Maurice?,7.313712,10.777226,-1
Edmund roughens some FinishedLumber.,7.930173,14.579277,2
Who is not downloading a compact disc?,5.326475,9.53232,1
Who will be sculpturing a bull?,5.832514,8.297699,2
A vaccinia virus assorts 9 cell membranes.,6.361726,13.886183,-2
Helen is damaging a nose.,6.751817,10.837696,2
Grace is not comparing a skunk.,6.388103,10.453485,2
Raymond doesn't steal a party platform.,6.601881,10.771793,2
Clement is inheritting an alfalfa plant from Adam.,6.390801,11.894933,2
Louis combines a computational system.,8.452147,9.710058,1
Rosa was firing a cereal grain.,7.229043,12.703401,1
Hardy was dripping a bottle.,6.938819,9.552941,1
Nancy was reproducing a computer input device.,5.484866,9.009418,2
Andrew reproduced a hammer.,8.685152,10.218648,2
Tom was starving an ant insect.,7.987735,10.821581,2
Abraham locates a helmet.,6.218372,12.040387,2
Who doesn't affix a compressor?,5.872713,13.144581,2
Who treated a coin?,7.489885,10.239948,2
Who will refer a mosque?,6.977361,11.543679,2
Gerald isn't studying a farm.,6.059907,9.604116,2
A grass plant was fermenting a coffee robusta.,5.553077,10.959291,-3
Carol pours a citrus fruit.,7.937515,10.68559,-1
George will be classing a body segment.,5.965729,9.27996,1
Who will assail a muscle?,7.127428,10.912164,1
Seven shrubs will be inheritting an exoskeleton.,6.098235,12.862859,-1
Who was not planning a business railcar?,6.420771,9.148363,1
Cora commands an unpowered vehicle.,6.193827,7.612882,2
Who was smelling a lion?,6.802857,8.884709,2
Travis was suffering a cell wall.,6.276156,7.844476,-1
Who doesn't produce an office building?,5.28099,7.757669,2
Who was lending a gene to a catheter?,5.95904,11.474682,-3
Who will be getting a transistor?,5.386803,7.757669,2
Anita located a worker insect.,7.396958,10.659667,2
Sylvia doesn't pour a dishdashah.,6.004566,11.388045,-1
Aloysius will be sculpturing a metallic 3D printer.,4.759516,10.059658,2
Walter irrigates a groundnut.,5.904327,8.130687,-1
Randy will be wading a heated pool.,5.326945,9.719822,1
Lindsay will sit Guenevere.,6.533369,7.79466,2
Malcolm transforms a device.,7.086009,8.957551,2
A turkey bird will not hunt four domestic dogs.,6.37904,10.397507,1
Who is communicating an engine fan?,7.043889,9.882335,1
Mary pips a helmet.,7.986207,10.543389,1
Randy will not imbibe a DVD.,6.023564,11.263783,2
Who examines a hominid?,5.899873,9.287882,2
Who doesn't extend a human corpse?,6.09278,9.948334,2
Josephine is not downloading an organism.,6.468835,10.609704,-1
Burt winked a mosque.,8.037872,15.427462,1
Cara haves an ear.,6.81594,8.599335,-1
Who will be questioning a container?,6.349634,11.286322,-1
Sheila supports 7 currencies.,6.59826,10.839053,1
Who won't reproduce a message?,6.172145,7.757669,2
Judith will interview five magazines.,6.78213,9.716355,2
A viral agent reproduces a clothing.,6.952183,9.179192,-1
Who will be recalling?,6.095283,7.757669,2
