sentence,n_tokens,avg_nll,p95,p99,max_surp,spike_frac_35,spike_frac_50,run_norm_35,uniq_token_ratio,rep_1gram,rep_2gram,top1_prob_mean,top1_minus_true_mean,punct_ratio,digit_ratio,upper_ratio,paren_imbalance_abs,bracket_imbalance_abs,human_label
Who was photocopying a text?,8,5.30365,7.753906,7.753906,16.765625,0.625,0.375,0.375,1,0,0,0.311279,0.112793,0.035714,0,0.035714,0,0,2
Rebecca emptied an aerator.,7,6.538365,8.523438,8.523438,15.023438,0.857143,0.571429,0.714286,1,0,0,0.316162,0.282227,0.037037,0,0.037037,0,0,2
An organism befriends a hominid.,9,5.028639,8.835938,8.835938,10.539062,0.555556,0.555556,0.444444,1,0,0,0.259521,0.09668,0.03125,0,0.03125,0,0,2
Who supports Aileen?,5,6.509766,7.753906,7.753906,8.03125,0.8,0.8,0.8,1,0,0,0.176147,0.168457,0.05,0,0.1,0,0,2
Peggy will be borrowing a factual text.,10,5.787549,12.25,12.25,14.28125,0.7,0.6,0.3,1,0,0,0.205078,0.081299,0.025641,0,0.025641,0,0,2
Frank is working a pay check.,7,5.80971,8.007812,8.007812,9.171875,0.857143,0.714286,0.857143,1,0,0,0.285645,0.273682,0.034483,0,0.034483,0,0,-3
Who was stealing a baseball dugout from Amy?,10,6.006559,10.734375,10.734375,11.59375,0.8,0.6,0.6,1,0,0,0.271484,0.153931,0.022727,0,0.045455,0,0,2
Dora will not toy a hen.,8,6.888428,8.992188,8.992188,12.898438,0.875,0.75,0.875,1,0,0,0.253906,0.240967,0.041667,0,0.041667,0,0,2
Joan is seeing an eye.,7,5.998047,9.460938,9.460938,9.5625,0.857143,0.428571,0.714286,1,0,0,0.280518,0.247559,0.045455,0,0.045455,0,0,2
Lisa deduced an upper leg.,7,8.052455,12.125,12.125,13.515625,1,0.714286,1,1,0,0,0.390381,0.385742,0.038462,0,0.038462,0,0,-1
Teresa selected a toll booth.,7,6.51981,10.4375,10.4375,12.382812,1,0.571429,1,1,0,0,0.177979,0.166504,0.034483,0,0.034483,0,0,2
Frank doesn't set a pharyngeal artery.,11,5.766301,10.515625,10.515625,10.601562,0.545455,0.545455,0.181818,1,0,0,0.41748,0.251709,0.052632,0,0.026316,0,0,-2
Who will be strangling Larry?,7,5.574428,8.570312,8.570312,13.179688,0.714286,0.428571,0.285714,1,0,0,0.31543,0.166138,0.034483,0,0.068966,0,0,2
Who will combine a lyrics?,6,7.401042,10.40625,10.40625,12.445312,1,0.666667,1,1,0,0,0.173584,0.166626,0.038462,0,0.038462,0,0,2
Alice imbibed a kennel.,8,6.935974,14.171875,14.171875,14.25,0.5,0.5,0.375,1,0,0,0.317871,0.171143,0.043478,0,0.043478,0,0,-1
Who bombs a sheep?,5,7.687891,9.75,9.75,13.765625,0.8,0.6,0.8,1,0,0,0.175171,0.157593,0.055556,0,0.055556,0,0,2
Isabel is charging Denis.,6,7.572266,11.5,11.5,13.46875,1,0.666667,1,1,0,0,0.208496,0.199463,0.04,0,0.08,0,0,2
Who is taking a vehicle?,6,5.510742,7.753906,7.753906,8.984375,0.666667,0.5,0.333333,1,0,0,0.180908,0.141846,0.041667,0,0.041667,0,0,2
Mike borrows nine factual texts from a library building.,11,7.01244,14.8125,14.8125,14.976562,0.636364,0.636364,0.272727,1,0,0,0.251953,0.124756,0.017857,0,0.017857,0,0,2
Deborah kicks a leg.,6,6.67513,7.785156,7.785156,13.039062,0.833333,0.666667,0.666667,1,0,0,0.250488,0.241089,0.05,0,0.05,0,0,2
Nicholas is not intending to an insurance policy to shoot.,12,5.573939,10.46875,10.46875,10.554688,0.583333,0.5,0.25,0.916667,0,0,0.269043,0.114014,0.017241,0,0.017241,0,0,0
A bacterium doesn't infect a cell with an E. coli.,14,3.973005,8.484375,8.484375,10.960938,0.428571,0.285714,0.142857,0.928571,0,0,0.333252,0.124878,0.06,0,0.04,0,0,2
Richard waters a goat.,5,7.973828,9.054688,9.054688,14.304688,0.8,0.6,0.8,1,0,0,0.126221,0.116516,0.045455,0,0.045455,0,0,2
Who doesn't buy a product from Desmond?,9,5.559245,9.804688,9.804688,15.484375,0.444444,0.333333,0.111111,1,0,0,0.335449,0.27002,0.051282,0,0.051282,0,0,2
Byron was killing an organism.,7,6.521763,8.507812,8.507812,10.5625,0.857143,0.857143,0.857143,1,0,0,0.163818,0.148438,0.033333,0,0.033333,0,0,2
Kelly evacuates a stationary artifact.,7,7.781599,10.632812,10.632812,15.390625,0.714286,0.571429,0.428571,1,0,0,0.216553,0.099182,0.026316,0,0.026316,0,0,2
Who was pouring a bottle?,6,6.753255,7.753906,7.753906,14.109375,1,0.5,1,1,0,0,0.319336,0.310303,0.04,0,0.04,0,0,2
Zero hominids was not befriending a hominid.,14,5.223105,13.398438,13.398438,14.5,0.5,0.357143,0.214286,0.857143,0,0.153846,0.339844,0.16687,0.022727,0,0.022727,0,0,2
Doreen will examine a malarial plasmodium.,14,4.059461,8.46875,8.46875,8.585938,0.642857,0.5,0.357143,1,0,0,0.422119,0.127563,0.02381,0,0.02381,0,0,2
Mary disburses an air conditioner.,7,6.624302,8.914062,8.914062,16.734375,0.857143,0.428571,0.571429,1,0,0,0.251709,0.213867,0.029412,0,0.029412,0,0,2
Wallace compares a porous container.,7,7.21875,9.796875,9.796875,11.671875,0.857143,0.714286,0.714286,1,0,0,0.172119,0.151611,0.027778,0,0.027778,0,0,2
Who was soldering a barricade?,8,6.000538,11.8125,11.8125,15.710938,0.625,0.375,0.375,1,0,0,0.300781,0.131104,0.033333,0,0.033333,0,0,2
Sue makes a home base.,7,5.630022,6.484375,6.484375,8.554688,0.857143,0.857143,0.428571,1,0,0,0.151123,0.121033,0.045455,0,0.045455,0,0,2
A botanical tree fired a thermometer.,7,8.068917,11.085938,11.085938,12.171875,0.857143,0.714286,0.857143,1,0,0,0.154053,0.147583,0.027027,0,0.027027,0,0,-2
Melvin was massaging Stella.,7,6.475307,9.132812,9.132812,12.484375,0.714286,0.571429,0.285714,1,0,0,0.250488,0.209106,0.035714,0,0.071429,0,0,2
Cindy will invest a tent.,7,7.09654,9.710938,9.710938,12.070312,0.857143,0.857143,0.571429,1,0,0,0.273682,0.266357,0.04,0,0.04,0,0,2
Who will evacuate a time_phased force and deployment data file?,13,5.430364,10.453125,10.453125,17.453125,0.461538,0.307692,0.461538,1,0,0,0.225464,0.167358,0.031746,0,0.015873,0,0,0
Who will spray a peach?,6,6.707357,9.296875,9.296875,11.554688,0.833333,0.5,0.833333,1,0,0,0.22522,0.21106,0.043478,0,0.043478,0,0,2
Who is hitting a vehicle wheel?,7,6.562221,10.15625,10.15625,10.289062,0.571429,0.571429,0.285714,1,0,0,0.236572,0.197998,0.032258,0,0.032258,0,0,2
Duncan is operating a device.,7,5.648158,7.292969,7.292969,10.171875,0.857143,0.571429,0.571429,1,0,0,0.203491,0.175537,0.034483,0,0.034483,0,0,2
Conan is not visitting a hand gun.,10,6.605469,10.085938,10.085938,14.46875,1,0.5,1,1,0,0,0.182251,0.175659,0.029412,0,0.029412,0,0,-1
Olga will not imbibe a bronchial duct.,12,5.488953,12.5,12.5,13.6875,0.5,0.416667,0.25,1,0,0,0.273438,0.141235,0.026316,0,0.026316,0,0,2
Who likens an organism?,6,7.054769,8.390625,8.390625,13.5625,0.833333,0.833333,0.5,1,0,0,0.331055,0.230835,0.043478,0,0.043478,0,0,2
Lisa is boiling a research ship.,7,7.804967,13.320312,13.320312,13.664062,0.714286,0.571429,0.428571,1,0,0,0.228516,0.19458,0.03125,0,0.03125,0,0,-1
Geoffrey immunizes a patent.,8,6.709106,10.3125,10.3125,17.21875,0.625,0.625,0.375,1,0,0,0.177246,0.100098,0.035714,0,0.035714,0,0,-2
Who won't plan a pulmonary vein?,8,7.103882,9.601562,9.601562,16.25,0.875,0.75,0.5,1,0,0,0.349854,0.314453,0.0625,0,0.03125,0,0,2
Marshela was planning.,5,9.271875,11.460938,11.460938,13.15625,1,0.8,1,1,0,0,0.245605,0.244019,0.045455,0,0.045455,0,0,2
Who doesn't play a running track?,8,5.166626,9.359375,9.359375,9.398438,0.5,0.5,0.25,1,0,0,0.351074,0.281006,0.060606,0,0.030303,0,0,-1
Claire is discovering a place of worship.,9,4.8463,10.1875,10.1875,10.515625,0.444444,0.333333,0.111111,1,0,0,0.238647,0.167114,0.02439,0,0.02439,0,0,2
0 bacteriums divided Ellen.,7,8.772461,14.640625,14.640625,16.34375,0.857143,0.857143,0.571429,1,0,0,0.230225,0.200317,0.037037,0.037037,0.037037,0,0,1
Harold was not borrowing a pitchers mound from Emil.,11,6.498935,14.429688,14.429688,14.992188,0.545455,0.545455,0.272727,1,0,0,0.175171,0.132935,0.019231,0,0.038462,0,0,-1
Who designated a collarbone to a tool box?,10,6.383789,12.578125,12.578125,14.015625,0.7,0.4,0.3,0.9,0,0,0.217896,0.187988,0.02381,0,0.02381,0,0,-3
Carl will be dredging a motor hopper.,10,6.224161,13.101562,13.101562,13.132812,0.6,0.5,0.2,1,0,0,0.359131,0.119385,0.027027,0,0.027027,0,0,0
Rachel will be running a vehicle.,7,6.160714,10.296875,10.296875,12.226562,0.714286,0.571429,0.285714,1,0,0,0.187134,0.077576,0.030303,0,0.030303,0,0,2
Kate will not download a news feed.,8,6.026123,10.21875,10.21875,10.859375,0.75,0.5,0.75,1,0,0,0.221558,0.195923,0.028571,0,0.028571,0,0,2
Ethel will not be performing a mouth.,9,5.868869,9.359375,9.359375,10.65625,0.777778,0.555556,0.444444,1,0,0,0.22998,0.175659,0.027027,0,0.027027,0,0,-1
Who drives a lung?,5,7.140625,8.984375,8.984375,12.976562,0.6,0.6,0.4,1,0,0,0.195435,0.174194,0.055556,0,0.055556,0,0,-1
A clostridium tetani infects a louse with a vaccinia virion.,19,3.6039,8.828125,8.828125,11.25,0.473684,0.263158,0.157895,0.947368,0,0,0.420898,0.160645,0.016667,0,0.016667,0,0,2
Who was not inflating an ornamental fish?,10,5.639819,8.226562,8.226562,11.398438,0.8,0.6,0.7,1,0,0,0.316406,0.243408,0.02439,0,0.02439,0,0,2
Who will be playing a kitchen?,7,5.610073,7.753906,7.753906,10.617188,0.857143,0.428571,0.571429,1,0,0,0.213013,0.171509,0.033333,0,0.033333,0,0,-1
Dominic was famishing Sebastian.,7,7.460938,12.96875,12.96875,14.757812,0.714286,0.571429,0.571429,1,0,0,0.2854,0.24292,0.03125,0,0.0625,0,0,2
Harry has not painted a Spruce tree.,9,5.891602,10.007812,10.007812,13.40625,0.666667,0.444444,0.444444,1,0,0,0.229126,0.174072,0.027778,0,0.055556,0,0,2
Alba will comprehend a cell nucleus.,8,6.94751,8.460938,8.460938,12.953125,0.75,0.75,0.5,1,0,0,0.165161,0.156006,0.027778,0,0.027778,0,0,2
Who wasn't observing a la crosse virus?,10,6.331982,11.078125,11.078125,11.375,0.7,0.6,0.2,1,0,0,0.245239,0.170044,0.051282,0,0.025641,0,0,2
Jane will have to a throat.,7,6.515206,10.375,10.375,10.390625,0.714286,0.571429,0.428571,1,0,0,0.151123,0.117615,0.037037,0,0.037037,0,0,0
Who will be borrowing a calf?,7,6.09082,9.78125,9.78125,12.53125,0.714286,0.428571,0.428571,1,0,0,0.248535,0.201782,0.034483,0,0.034483,0,0,2
Sally will be egesting a red blood cell.,12,4.78123,10.125,10.125,10.585938,0.583333,0.5,0.25,1,0,0,0.233154,0.081848,0.025,0,0.025,0,0,2
A giardia lamblia is beckonning a device.,14,5.041349,13.289062,13.289062,17.984375,0.571429,0.285714,0.285714,0.928571,0,0,0.330322,0.107483,0.02439,0,0.02439,0,0,-2
Who plays a sprinkler?,6,5.589966,7.753906,7.753906,11.398438,0.666667,0.5,0.666667,1,0,0,0.30957,0.156616,0.045455,0,0.045455,0,0,-1
Lilian will recollect.,6,6.406901,7.378906,7.378906,9.203125,1,0.833333,1,1,0,0,0.231567,0.22522,0.045455,0,0.045455,0,0,1
Kristin tells an APC.,6,7.699056,10.257812,10.257812,13.101562,0.833333,0.833333,0.666667,1,0,0,0.189819,0.156372,0.047619,0,0.190476,0,0,-3
Carol is vandalizing a religious building.,8,6.009155,10.367188,10.367188,16.53125,0.5,0.375,0.375,1,0,0,0.293213,0.236938,0.02381,0,0.02381,0,0,2
A sorghum grass will trot a facial hair.,11,6.288975,12.6875,12.6875,14.265625,0.636364,0.454545,0.454545,1,0,0,0.230469,0.117188,0.025,0,0.025,0,0,-1
Who peels a snake?,6,5.57194,7.753906,7.753906,12.34375,0.5,0.5,0.333333,1,0,0,0.276367,0.217896,0.055556,0,0.055556,0,0,2
Robin doesn't taste a pancreas.,8,6.512634,10.515625,10.515625,15.757812,0.625,0.5,0.375,1,0,0,0.317627,0.137817,0.064516,0,0.032258,0,0,2
Gladys was inferring Evan.,8,6.790405,11.46875,11.46875,13.601562,0.875,0.875,0.625,1,0,0,0.310791,0.280762,0.038462,0,0.076923,0,0,1
Who will seek a rhinoceros?,9,4.5122,8.734375,8.734375,9.929688,0.555556,0.333333,0.555556,1,0,0,0.393555,0.209229,0.037037,0,0.037037,0,0,2
Mildred will dodge a twin_sized bed.,11,6.458807,12.789062,12.789062,13.375,0.636364,0.545455,0.272727,1,0,0,0.185547,0.135986,0.055556,0,0.027778,0,0,2
Bill financed a revolver gun.,6,7.469401,10.414062,10.414062,13.234375,0.833333,0.666667,0.833333,1,0,0,0.181763,0.165771,0.034483,0,0.034483,0,0,2
Who will inherit a wet bar?,7,5.853795,7.753906,7.753906,11.171875,0.857143,0.571429,0.857143,1,0,0,0.290283,0.268555,0.037037,0,0.037037,0,0,2
Who noticed a musical instrument?,6,6.435547,9.421875,9.421875,11.304688,0.666667,0.5,0.666667,1,0,0,0.16748,0.150024,0.030303,0,0.030303,0,0,2
Carmen perceived a deltoid artery.,9,6.313315,14.9375,14.9375,16.515625,0.555556,0.555556,0.222222,1,0,0,0.225586,0.072388,0.029412,0,0.029412,0,0,2
Who is melting some cocoa bean?,7,6.945033,9.085938,9.085938,12.695312,0.714286,0.714286,0.571429,1,0,0,0.267578,0.236328,0.032258,0,0.032258,0,0,2
Ethel will visit a forty foot container.,9,6.255208,9.359375,9.359375,11.671875,0.888889,0.555556,0.777778,1,0,0,0.173706,0.16333,0.025,0,0.025,0,0,2
Who is interviewing a report?,6,6.390299,9.398438,9.398438,10.867188,0.666667,0.666667,0.5,1,0,0,0.188721,0.149414,0.034483,0,0.034483,0,0,-1
Grace presses a hat.,5,9.095313,10.453125,10.453125,14.90625,1,0.8,1,1,0,0,0.217163,0.215332,0.05,0,0.05,0,0,2
An aloe vera plant is finding a single family residence.,12,4.998901,10.960938,10.960938,12.820312,0.583333,0.416667,0.25,0.916667,0,0,0.286377,0.158936,0.017857,0,0.017857,0,0,-1
A tobacco will not be smoking some sugar.,9,6.100911,9.984375,9.984375,11.882812,0.666667,0.555556,0.333333,1,0,0,0.131104,0.090759,0.02439,0,0.02439,0,0,-1
Adam will step a right proximal phalanx IV bone.,13,5.857799,9.71875,9.71875,12.96875,0.692308,0.538462,0.461538,1,0,0,0.349609,0.166626,0.020833,0,0.0625,0,0,1
Who will roll a tire changer?,7,6.608817,9.226562,9.226562,10.398438,0.857143,0.571429,0.857143,1,0,0,0.196777,0.179077,0.034483,0,0.034483,0,0,2
A domestic cat inherited an anatomical structure from an ear.,12,5.287944,9.59375,9.59375,9.695312,0.583333,0.416667,0.25,0.916667,0,0,0.336426,0.223267,0.016393,0,0.016393,0,0,-3
Who spreads a hotel?,5,7.785156,8.976562,8.976562,13.070312,1,0.8,1,1,0,0,0.201294,0.196411,0.05,0,0.05,0,0,2
Who runs an insect?,5,6.91875,7.753906,7.753906,9.867188,1,0.8,1,1,0,0,0.224121,0.220337,0.052632,0,0.052632,0,0,-1
A coffee plant is buying some mint.,8,6.303223,9.96875,9.96875,11.789062,0.75,0.625,0.375,1,0,0,0.194946,0.165771,0.028571,0,0.028571,0,0,-2
Who will not communicate a table to a kufiyyah?,14,5.02853,8.71875,8.71875,9.476562,0.642857,0.5,0.428571,0.928571,0,0,0.223877,0.152832,0.021277,0,0.021277,0,0,-1
Allan will get an anchor from a currency.,10,5.969727,9.125,9.125,11.945312,0.8,0.5,0.6,1,0,0,0.149536,0.135254,0.02439,0,0.02439,0,0,-3
Who doesn't smell 6 monkies?,9,6.191081,11.617188,11.617188,15.601562,0.555556,0.444444,0.444444,1,0,0,0.292969,0.236084,0.071429,0.035714,0.035714,0,0,2
Douglas downloads an art studio.,7,7.440517,10.40625,10.40625,17.921875,0.857143,0.714286,0.714286,1,0,0,0.249878,0.130371,0.03125,0,0.03125,0,0,2
Who doesn't share a Poplar tree?,9,5.131185,10.226562,10.226562,12.273438,0.444444,0.444444,0.222222,1,0,0,0.307861,0.222412,0.0625,0,0.0625,0,0,-1
Ten cottonwood trees will smell Caitlin.,9,7.293837,12.210938,12.210938,18.53125,0.777778,0.444444,0.333333,1,0,0,0.328613,0.184692,0.025,0,0.05,0,0,-2
Caitlin won't be supporting a currency.,10,5.39375,8.804688,8.804688,11.5625,0.7,0.6,0.4,1,0,0,0.226562,0.126587,0.051282,0,0.025641,0,0,2
Who referred a golf course?,6,6.766927,10.59375,10.59375,10.679688,0.833333,0.666667,0.666667,1,0,0,0.364502,0.3479,0.037037,0,0.037037,0,0,2
Alison will not be toying an organ.,10,5.660693,8.664062,8.664062,9,0.9,0.5,0.5,1,0,0,0.254395,0.19812,0.028571,0,0.028571,0,0,-1
Who will wade a swimming pool?,8,5.051666,8.125,8.125,9.757812,0.625,0.5,0.375,1,0,0,0.310303,0.165894,0.033333,0,0.033333,0,0,1
Alba figures a spinal cord.,7,7.014927,11.984375,11.984375,12.234375,0.857143,0.714286,0.714286,1,0,0,0.193237,0.159058,0.037037,0,0.037037,0,0,0
Lydia will be choosing a vending machine.,9,5.328518,10.125,10.125,11.648438,0.555556,0.444444,0.111111,1,0,0,0.249023,0.06665,0.02439,0,0.02439,0,0,2
Claudia protected an abnormal anatomical structure.,10,5.282388,10.1875,10.1875,14.671875,0.5,0.5,0.4,1,0,0,0.330566,0.088013,0.019608,0,0.019608,0,0,2
Rebecca advertized a vine.,7,7.367188,10.320312,10.320312,14.953125,0.857143,0.714286,0.571429,1,0,0,0.3396,0.327881,0.038462,0,0.038462,0,0,2
Fiona was shooting a saw.,7,6.506696,10.257812,10.257812,11.03125,0.857143,0.714286,0.571429,1,0,0,0.136719,0.109985,0.04,0,0.04,0,0,-1
Sylvia bombarded a prison.,8,5.862,8.8125,8.8125,14.835938,0.75,0.5,0.375,1,0,0,0.156982,0.086182,0.038462,0,0.038462,0,0,2
A salmon doesn't hear an organ.,8,6.327881,9.09375,9.09375,11.164062,0.75,0.5,0.375,1,0,0,0.219971,0.169678,0.064516,0,0.032258,0,0,2
Elizabeth has not uploaded a picture frame.,8,6.176514,9.773438,9.773438,13.335938,0.875,0.5,0.875,1,0,0,0.315186,0.299561,0.023256,0,0.023256,0,0,-1
Who injects a respirator?,7,5.54226,10.164062,10.164062,13.203125,0.571429,0.428571,0.285714,1,0,0,0.381104,0.105652,0.04,0,0.04,0,0,-1
A guinea pig was not performing a steering wheel.,11,5.242742,10.890625,10.890625,12.492188,0.818182,0.363636,0.636364,1,0,0,0.257324,0.15918,0.020408,0,0.020408,0,0,-1
Gary will be singing a trousers.,7,7.550781,10.070312,10.070312,20.390625,0.714286,0.571429,0.285714,1,0,0,0.155273,0.088074,0.03125,0,0.03125,0,0,-1
Richard will be smoothing a fabric.,7,7.608538,9.617188,9.617188,15.265625,0.857143,0.714286,0.571429,1,0,0,0.184814,0.12085,0.028571,0,0.028571,0,0,2
Kristen will be tying seven right ossa coxaes.,13,6.622596,11.578125,11.578125,15.992188,0.615385,0.538462,0.307692,1,0,0,0.310059,0.239014,0.021739,0,0.021739,0,0,2
Alice pares ten left gastric arterys.,9,7.642578,10.414062,10.414062,11.734375,0.888889,0.777778,0.888889,1,0,0,0.189087,0.179443,0.027027,0,0.027027,0,0,2
Who mails ten left true rib 5 bones?,10,9.027148,13.328125,13.328125,15.960938,0.8,0.8,0.7,1,0,0,0.126831,0.119446,0.027778,0.027778,0.027778,0,0,1
Tom will be painting a coin.,7,6.195801,8.820312,8.820312,12.03125,0.714286,0.571429,0.285714,1,0,0,0.174438,0.084595,0.035714,0,0.035714,0,0,2
Kathleen wasn't raising a muscular ulnar artery.,12,5.195353,10.960938,10.960938,11.101562,0.583333,0.416667,0.166667,1,0,0,0.234375,0.10022,0.041667,0,0.020833,0,0,1
A tobacco smokes a firearm.,7,5.935198,11.882812,11.882812,12.015625,0.571429,0.428571,0.428571,1,0,0,0.284424,0.185913,0.037037,0,0.037037,0,0,-2
Sarah has not nodded a nail.,7,6.848772,9.570312,9.570312,12.851562,0.857143,0.428571,0.857143,1,0,0,0.188721,0.173218,0.035714,0,0.035714,0,0,-1
A reptile doesn't immunise Richard.,9,6.658,14.585938,14.585938,15.4375,0.666667,0.444444,0.222222,1,0,0,0.365234,0.203857,0.057143,0,0.057143,0,0,2
Jack will be figuring a hominid.,9,6.060303,9.929688,9.929688,12.078125,0.777778,0.555556,0.444444,1,0,0,0.316406,0.193848,0.03125,0,0.03125,0,0,1
Two algas starved a product.,8,7.176025,9.515625,9.515625,13.414062,0.875,0.625,0.5,1,0,0,0.189575,0.178833,0.035714,0,0.035714,0,0,2
Harry doesn't fall a skylight.,9,5.939507,10.007812,10.007812,10.039062,0.666667,0.666667,0.444444,1,0,0,0.300293,0.177368,0.066667,0,0.033333,0,0,-1
A RNA virus will be plugging a deltoid muscle.,12,5.53772,11.96875,11.96875,13.5,0.5,0.416667,0.166667,1,0,0,0.203491,0.140747,0.021739,0,0.086957,0,0,-1
Who will be tying a thorax bone to a pencil?,12,5.577352,13.023438,13.023438,13.3125,0.583333,0.5,0.25,0.916667,0,0,0.313965,0.209717,0.022727,0,0.022727,0,0,2
Who isn't uploading a motion picture?,8,5.549194,9.242188,9.242188,12.265625,0.5,0.5,0.25,1,0,0,0.248047,0.174438,0.054054,0,0.027027,0,0,2
7 horses is wading a board or block.,10,7.104297,9.414062,9.414062,11.265625,0.9,0.8,0.9,1,0,0,0.210938,0.202026,0.027778,0.027778,0,0,0,-1
Who auctions 3 birds?,6,7.488281,10.21875,10.21875,16.265625,0.666667,0.5,0.5,1,0,0,0.170654,0.150146,0.047619,0.047619,0.047619,0,0,2
Who is freezing a text?,6,6.709635,9.890625,9.890625,13.140625,0.666667,0.666667,0.5,1,0,0,0.196899,0.155151,0.043478,0,0.043478,0,0,2
Alvin sells Bridget a coin.,8,6.39563,10.765625,10.765625,12.390625,0.75,0.5,0.5,1,0,0,0.160156,0.119812,0.037037,0,0.074074,0,0,2
Who won't skin a snake?,7,5.447266,7.753906,7.753906,12.03125,0.714286,0.428571,0.571429,1,0,0,0.309326,0.262207,0.086957,0,0.043478,0,0,2
Henry doesn't press a French press.,8,6.415344,10.390625,10.390625,10.9375,0.75,0.5,0.5,0.875,0,0,0.223022,0.12854,0.057143,0,0.057143,0,0,2
Who will get a Chevrolet engine?,7,5.468192,7.753906,7.753906,10.351562,0.714286,0.428571,0.428571,1,0,0,0.210205,0.183105,0.03125,0,0.0625,0,0,2
Pete irons 8 muscular ulnar arterys.,12,5.786794,11.710938,11.710938,13.015625,0.666667,0.5,0.333333,1,0,0,0.206177,0.105591,0.027778,0.027778,0.027778,0,0,-1
Two felines befriends a cocoa tree.,9,6.038411,8.96875,8.96875,12.179688,0.666667,0.444444,0.555556,1,0,0,0.147705,0.121094,0.028571,0,0.028571,0,0,-1
Lucas haves a license.,7,5.920061,8.984375,8.984375,9.804688,0.714286,0.571429,0.285714,1,0,0,0.184204,0.135254,0.045455,0,0.045455,0,0,2
A bacterium infected a worm with a lacrimal artery.,13,5.076209,10.960938,10.960938,11.71875,0.615385,0.461538,0.230769,0.923077,0,0,0.330322,0.171265,0.019608,0,0.019608,0,0,2
An elephant reckons a small intestine.,8,6.388977,8.867188,8.867188,13.601562,0.875,0.625,0.5,1,0,0,0.188843,0.105286,0.026316,0,0.026316,0,0,0
Who puted an academic degree?,7,7.485212,9.742188,9.742188,12.523438,1,0.714286,1,1,0,0,0.243286,0.237671,0.034483,0,0.034483,0,0,0
Lucy steals a genetically engineered organism from an engine control module.,13,5.502366,11.75,11.75,12.640625,0.461538,0.461538,0.153846,1,0,0,0.232666,0.112671,0.013158,0,0.013158,0,0,-3
Who matches Mark?,4,8.039062,8.015625,8.015625,12.03125,1,0.75,1,1,0,0,0.221436,0.218018,0.058824,0,0.117647,0,0,2
Who will be swarming a hominid?,10,5.185425,9.578125,9.578125,10.710938,0.8,0.4,0.5,1,0,0,0.300781,0.196289,0.032258,0,0.032258,0,0,0
Thomas will see Alice.,5,7.341797,9.117188,9.117188,10.15625,1,0.8,1,1,0,0,0.170044,0.165161,0.045455,0,0.090909,0,0,2
Rachel will be hearing Arnold.,6,7.802572,10.304688,10.304688,14.226562,0.833333,0.833333,0.5,1,0,0,0.240234,0.153564,0.033333,0,0.066667,0,0,2
Who designed a Balsa tree?,7,6.219308,7.753906,7.753906,7.839844,0.857143,0.857143,0.857143,1,0,0,0.230957,0.224609,0.038462,0,0.076923,0,0,1
A mammal is forgiving Sonya.,8,6.7854,14.71875,14.71875,15.03125,0.625,0.375,0.375,1,0,0,0.219727,0.137085,0.035714,0,0.071429,0,0,2
Ricky presents Felix a board or block.,9,7.169271,10.046875,10.046875,11.15625,0.888889,0.777778,0.888889,1,0,0,0.155396,0.148315,0.026316,0,0.052632,0,0,2
Rachel will be setting a pollen.,7,7.456892,10.710938,10.710938,12.390625,0.857143,0.714286,0.571429,1,0,0,0.275635,0.198486,0.03125,0,0.03125,0,0,0
Who sends an electrocardiogram?,8,4.383836,8.671875,8.671875,10.046875,0.625,0.375,0.5,1,0,0,0.444092,0.123108,0.032258,0,0.032258,0,0,2
Who doesn't raise a lid?,7,5.681362,10.0625,10.0625,12.007812,0.571429,0.428571,0.285714,1,0,0,0.419434,0.324707,0.083333,0,0.041667,0,0,1
A feline eats some RNA molecule.,8,6.658203,9.234375,9.234375,13.273438,0.875,0.5,0.875,1,0,0,0.209106,0.189087,0.03125,0,0.125,0,0,-1
Nicholas wasn't pouring eight arteries.,8,7.930145,12.3125,12.3125,13.734375,0.625,0.625,0.375,1,0,0,0.268799,0.11615,0.051282,0,0.025641,0,0,-1
Hilda thinned a lentil.,8,6.720581,11.101562,11.101562,11.84375,0.875,0.75,0.75,1,0,0,0.188843,0.142334,0.043478,0,0.043478,0,0,1
Who won't bury an animal shell?,8,6.451416,10.023438,10.023438,12.257812,0.875,0.5,0.875,1,0,0,0.249512,0.231689,0.064516,0,0.032258,0,0,2
6 monkies will raise a drum.,8,6.9646,9.546875,9.546875,14.898438,0.75,0.625,0.625,1,0,0,0.197632,0.18335,0.035714,0.035714,0,0,0,2
Madeline is catching Penny.,6,6.811198,9.515625,9.515625,12.328125,0.5,0.5,0.333333,1,0,0,0.279785,0.26001,0.037037,0,0.074074,0,0,2
An Escherichia coli will not upload an intelsat.,14,5.25965,11.765625,11.765625,13.078125,0.571429,0.428571,0.285714,1,0,0,0.356201,0.084412,0.020833,0,0.041667,0,0,-2
Who is producing a party platform?,7,5.863002,9.539062,9.539062,9.65625,0.714286,0.571429,0.571429,1,0,0,0.218872,0.179443,0.029412,0,0.029412,0,0,2
Who wasn't placing a left lacrimal bone?,11,6.439664,12.132812,12.132812,15.023438,0.636364,0.545455,0.272727,1,0,0,0.379395,0.255615,0.05,0,0.025,0,0,2
5 primates will be communicating a painted picture to Felix.,12,6.714152,12.125,12.125,14.898438,0.666667,0.583333,0.333333,1,0,0,0.243896,0.171387,0.016667,0.016667,0.016667,0,0,2
