Length,Average Number of Sentences,Complex Sentence
31,1.7,"The state's population is concentrated in South East Queensland, which includes the capital Brisbane, Logan City, Ipswich, Toowoomba, and the Gold and Sunshine Coasts."
18,1.1,It is theorized that they made up for this deficiency by regularly eating thiamine-rich soba.
15,1.0,"The name ""Gulf of California"" predominates on most maps in English today."
30,1.4,"In the early afternoon around 1: 00, the crowd broke into the undefended outer courtyard and the chains on the drawbridge to the inner courtyard were cut."
34,2.0,"In the United States antidepressants and tranquilizers are now the top selling class of prescription drugs, and neuroleptics and other psychiatric drugs also rank near the top, all with expanding sales."
14,1.0,Geography Libourne is located at the confluence of the Isle and Dordogne rivers.
15,1.3,"Cameron's wife Noble also starred in the film series, playing Hattie Durham."
36,1.8,"After the end of the fifth overtime period, managers Conn Smythe of the Maple Leafs and Art Ross of the Bruins asked league president Frank Calder to suspend the game, but Calder refused."
14,1.3,Wilson settled in the district in late 1836 with his wife and family.
20,1.1,"Twin cities and consulates Manchester has formal twinning arrangements (or ""friendship agreements"") with several places."
25,1.6,Pantaléon Enrique Costanzo Granados y Campiña (27 July 1867 24 March 1916) was a Spanish Catalan pianist and composer of classical music.
22,1.6,"Hurricane Dog caused extensive damage to the Leeward Islands, and was considered the most severe hurricane on record in Antigua."
25,1.6,The northern French half comprises the Collectivité de Saint-Martin (Collectivity of St. Martin) and is an overseas collectivity of France.
20,1.5,Railways The location of the town in the bottom of a steep valley counted against it for railway construction.
8,1.1,Passenger trains operated to Forbes until 1983.
23,1.3,"It provided a variety of music, from pop-punk, surf rock, and ska, to an acoustic ballad."
32,1.7,"They were then replaced by the 4th Armored Division in 1957, which was redesignated as the 1st Armored Division in 1971 and moved to Hindenburg Kaserne in Ansbach in 1972."
18,1.0,"ISBN 1559390506 ISBN 978 - 1559390507 Blackman, Sushila (Compiled and edited) (1997)."
19,1.0,"The sixth, seventh, and eighth digits indicate the municipality or the number of the unincorporated area."
14,1.0,"In 2006, he co-starred in the independent film Manhattan Minute."
15,1.0,Hot chocolate and churros is the traditional working-man's breakfast in Spain.
27,1.5,"It was discovered from the images taken by Voyager 2 on January 20, 1986 and was given the temporary designation S / 1986 U 8."
18,1.5,"Thus from White Oak, he went to Princeton, where he worked on his equilibrium theory."
16,1.0,"Many specialize in machine construction, medical equipment, international trade, optics and electronics."
48,1.4,"In Smithson's will, he stated that should his nephew, Henry James Hungerford, die without heirs, the Smithson estate would go to the government of the United States for creating an ""Establishment for the increase & diffusion of Knowledge among men""."
23,1.3,"Satan represents all of the so-called sins, as they all lead to physical, mental, or emotional gratification."
13,1.0,The prisoners sentenced to incarceration were transferred to Spandau Prison in 1947.
17,1.2,"Using their tail to support their weight, they deliver kicks with their powerful hind legs."
27,1.6,"Killzone 2 is a first-person shooter (FPS) for the PlayStation 3, developed by Guerrilla Games and published by Sony Computer Entertainment."
21,1.5,Keymer was an ancient parish that like its near neighbour Clayton was merged into the modern day parish of Hassocks.
27,1.4,Combined oral contraceptive use reduces the risk of ovarian cancer by 40% and the risk of endometrial cancer by 50% compared to never users.
12,1.0,This category contains articles related to motorways in the United Kingdom.
21,1.3,The other featured match was between WWE Champion Rob Van Dam defending the title against Edge in a singles match.
29,1.6,"Ironically, this antagonistic relationship between Rick and Vyvyan makes them virtually inseparable, as the two spend by far more time together than with the other housemates."
15,1.0,"A year later, he was appointed as the Minister of Commerce and Industry."
13,1.1,In 1975 these two districts were merged to form today's district.
19,1.5,"This includes all natural and human accidents and errors and is calculated over roughly 160,000 Shinkansen trips completed."
11,1.0,A final violent confrontation with police took place at Glenrowan.
19,1.6,"The subunguis is the softer, flaky underside layer whose grain is parallel to the direction of growth."
19,1.3,Tobacco: In 1984 he wrote that nicotine has an addictiveness similar to that of heroin or cocaine.
13,1.0,"Records indicate that they began in 776 BC in Olympia, Greece."
28,1.5,"The first use of the word was for the limbs of fish, but has been extended to include other animal limbs and man-made devices."
15,1.1,"However, during his third appearance, Miller broke his collarbone in a fall."
13,1.1,"INVEST or Storm 91C, was an unusual weather event of 2006."
14,1.0,For official forecasts see the NHC's public advisory archive on Hurricane Karl.
23,1.4,"The Lonely Mountain Jar Inscription, the first published tengwar sample, dates to 1937 (The Hobbit, most editions)."
33,1.8,"Tropical storms in Arizona are infrequent, since the predominant storm track carries most storms that form in the Eastern Pacific either parallel or away from the Pacific coast of northwestern Mexico."
29,1.2,"Chianti Superiore Chianti Superiore is an Italian DOCG wine produced in the provinces of Arezzo, Florence, Pisa, Pistoia, Prato and Siena, in Tuscany."
17,1.4,"Thinner is a 1984 novel by Stephen King, published under his pseudonym, Richard Bachman."
8,1.0,Bollywood plots have tended to be melodramatic.
20,1.2,"They may be removed for several reasons, including impaired breathing through the nose and chronic infections or earaches."
16,1.3,"Niccolò Machiavelli, author of The Prince, also witnessed and wrote about the execution."
21,1.0,"Hughes' story ""Blessed Assurance"" deals with a father's anger over his son's effeminacy and queerness."
26,1.2,"In 1855 parts of Nash County, Edgecombe County, Johnston County, and Wayne County were combined to form Wilson County, North Carolina."
20,1.4,"Watonga, Kingfisher and Geary were the hardest-hit communities, where many houses and buildings were inundated."
33,1.5,"To provide water for its steam locomotives, the Commissioners decided to provide a dam and pump water from it to a facility, known as Young Tank, at the post."
41,1.8,"Unobserved, Susanna re-enters the bedroom with the clothing and conceals herself after she realises what is wrong (She knows that to reveal her presence would only result in the worst possible consequences to the Countess)."
24,1.5,"The video premiered on MTV's Headbangers Ball on October 25, 2008 as part of the Headbangers Ball 20th anniversary special programming."
26,1.5,"History The state was created in 1951 out of the historical states of Baden, Hohenzollern and Württemberg, part of the region of Swabia."
33,1.6,"After the abolition of slavery in 1835, many Indian and Chinese workers were brought to work the land, and cultivate sugar cane, at that time used to produce rum."
45,2.0,"Marxists Internet Archive (also known as MIA or Marxists. org) is a volunteer based non-profit organization that maintains a multi-lingual Internet archive of Marxist writers and other similar authors (socialists, anarchists, etc.)."
17,1.0,It has been suggested that Vättern is the largest body of potable water in the world.
14,1.4,French troops land at Kilcummin in County Mayo to assist the Irish rebellion.
26,1.5,The game also features co-operative play (co-op) which allows players to complete the story based single player mode together.
18,1.1,"The psychological state of sympathy is closely linked with that of compassion, empathy and empathic concern."
25,1.5,"The Shaolin Monastery or Shaolin Temple, is a Chán Buddhist temple at Song Shan near Zhengzhou City Henan Province in Dengfeng, China."
18,1.1,"During the play, Violet signs the marriage document with her left hand to invalidate the bill."
14,1.1,"As a number One is the integer before two, and after zero."
15,1.3,The storm dropped heavy rainfall near its immediate landfall location but little precipitation elsewhere.
22,1.0,"From about 200 to 30 million years ago, the North American Plate was in continual collision with the Farallon Plate."
14,1.2,"The British described Cheema as a powerful and united, but quarrelsome tribe."
16,1.0,"As of 2007, a maximum of two builders can be inducted in one year."
18,1.4,"Synopsis Place: A Spanish state prison, a few miles from Seville Time: Late 1700s."
27,1.2,"Before the outbreak's end, Andover, Kansas, would record the year's only F5 tornado (see Andover, Kansas Tornado Outbreak)."
18,1.4,"The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it."
40,1.7,"The team with home-ice advantage hosts Games 1, 2, 5 and 7, while the opponent hosts Games 3, 4 and 6 (Games 5 – 7 are played ""if necessary"")."
16,1.1,A fugue forms the development section of the last movement of his piano sonata op.
13,1.0,The show is currently not on the air in the United States.
13,1.1,He performed on a regular basis for white audiences in the 1900s.
42,1.8,"The formation of Armenian revolutionary groups began roughly around the end of the Russo-Turkish War of 1878 and intensified with the first introduction of Article 166 of the Ottoman Penal code 166, and the raid of Erzerum Cathedral."
21,1.7,"History The district was created in 1817 as Bilsteiner Kreis, in 1819 the capital was set to be Olpe."
9,1.0,Eunomia has been observed occulting stars three times.
34,2.1,"Its symbol is ""$"", with ""RD $"" used when distinction from other pesos (or dollars) is required; its ISO 4217 code is ""DOP""."
22,2.0,"His oeuvre revolutionized the traditional tango into a new style termed nuevo tango, incorporating elements from jazz and classical music."
17,1.1,The attempts at mutiny in 1915 and the Lahore conspiracy trials were still in public attention.
19,1.1,"Finally, the town had no cultural life that could offer competition to Wagner's own artistic dominance."
34,1.4,"To help ease the resumption of services after the storm passes, CN also issued an embargo with the Association of American Railroads against all deliveries to points south of Osyka, Mississippi."
22,1.1,Key (v) indicates the actor or actress lent only his or her voice for his or her film character.
16,1.1,There are fewer Western expatriates than in the larger centers of Abu Dhabi and Dubai.
9,1.0,It was discovered in 1907 by August Kopff.
23,1.9,"Initially very disorganized, surface pressures gradually decreased across the region, with a weak low pressure area developing on September 19."
32,1.8,"Figaro then arrives and tries to initiate the beginning of the wedding festivities, but the Count stops him and asks who wrote the anonymous note given to him by Basilio."
23,1.7,"Thal is one of the ten districts of the canton of Solothurn in Switzerland, situated in the centre of the canton."
28,1.2,"Reservoir Dogs stars an ensemble cast with Harvey Keitel, Steve Buscemi, Tim Roth, Michael Madsen, Quentin Tarantino, Chris Penn and Lawrence Tierney."
16,1.2,Piper later landed a role in a television commercial promoting the pop magazine Smash Hits.
43,1.8,"Mohallas Nuryali Chakargally Tipper Ban seergah sydan Salandi Choki Seergah Dana Choaha Planni Bagla Sorrah Schools Public school - government funded Government primary, middle and high school for girls Government primary, middle, high and higher secondary schools for boys."
30,1.5,"Mergers and outreach, 1921 In 1921 the Philharmonic merged with New York's National Symphony Orchestra (no relation to the present Washington, D. C. ensemble)."
25,1.6,"Over 6,000 navvies were hired for up to two years building, blasting and clearing rubble beneath the South Downs to create Clayton Tunnel."
18,1.7,"The team was founded by Alexander Cartwright, considered one of the original developers of modern baseball."
16,1.1,It is an interesting genre since it incorporates both American rock and Pakistani Classical music.
13,1.0,A road number is often assigned to a stretch of public roadway.
36,1.8,"One famous example is his Sudarium of Saint Veronica (1649), an engraving of the face of Jesus made from a single spiraling line that starts at the tip of Jesus's nose."
23,1.4,"She made her debut in Series 3's ""Smith and Jones"", broadcast in the UK on 31 March 2007."
15,1.1,"The effect is also termed the Hertz Effect, The American journal of science."
20,1.5,"The partitions were carried out by Prussia, Russia and Habsburg Austria dividing up the Commonwealth lands among themselves."
25,1.4,"Witnessing the murder of his colleague Owen, Jack shoots his killer in the forehead, killing him in an act of swift revenge."
37,2.2,"After receiving suspended sentences several times for anti-government activities, Yun retired from politics in 1980 and focused primarily on cultural activities until his death from diabetic conditions and high blood pressure in 1990."
10,1.1,A borough is an administrative division of various countries.
42,1.5,"While smaller towns to the east, including Gundowring and Kergunyah, remained under threat, the CFA said that there was no immediate danger to the larger towns of Beechworth and Yackandandah on the northern fringe of the fire area."
12,1.1,Libra (1988) is a novel written by Don DeLillo.
24,1.4,Jacques René Chirac (born 29 November 1932) served as the President of France from 17 May 1995 until 16 May 2007.
18,1.1,Under the 1862 Police Regulation Act Pottinger was appointed an inspector of police for the Western District.
17,1.2,"In 1265, Simon de Montfort, 6th Earl of Leicester summoned the first elected Parliament."
12,1.0,Pasargadae remained the Persian capital until Darius founded another in Persepolis.
13,1.0,1268 - King Stephen V of Hungary launches a war against Bulgaria.
32,1.5,"William J. ""Bill"" Bowerman (February 19, 1911 – December 24, 1999) was an American track and field coach and co-founder of Nike, Inc."
19,1.0,"The fire threatened the Loy Yang Power Station, particularly the station's open-cut coal mine."
24,1.4,Manchester became the first city in the UK to acquire a modern light rail tram system when the Manchester Metrolink opened in 1992.
15,1.1,"Noli Me Tangere was finished in Berlin, Germany on March 29, 1887."
15,1.1,"Only smuggling across the Syrian border, and humanitarian aid ameliorated the humanitarian crisis."
26,1.2,"It is the county seat of Washington County, and, by many definitions, the largest city in a region known as Western Maryland."
14,1.3,"The river originates from Lulusar lake, nearly 48km from Naran Valley."
30,1.6,"Jewelers often refer to their craft as metalsmithing, and many universities offer degree programs in metalsmithing, jewelry and blacksmithing under the auspices of their fine arts programs."
19,1.1,"In 2005, Boreanaz began starring opposite Emily Deschanel on the current prime time television series, Bones."
24,1.0,Honours Mitsuko Uchida was appointed Honorary Commander of the Order of the British Empire (CBE) in the 2001 New Year Honours.
17,1.3,"The issue had divided the country, the government, and even Bowell's own Cabinet."
15,1.0,The town is mostly constituted of mud houses and small canals that supply water.
20,1.2,RollerCoaster Tycoon (or often abbreviated RCT) is a series of computer games that simulate amusement park management.
14,1.1,Women experience less navel lint because of their finer and shorter body hairs.
16,1.0,If you are reading this page it is possible that this has happened to your RfA.
18,1.2,"History The district was created in 1994 by merging the previous districts Eisenberg, Jena and Stadtroda."
22,1.2,"Barbara Castle, the Minister of Transport, gave approval on 4 August 1967 for the Brixton extension to be built."
21,1.5,"To the south lies the Laurenzenvorstadt, that is, the part of the town formerly outside the city wall."
31,1.6,"Most Paranthropus species seem almost certainly not to have used language nor to have controlled fire, although they are directly associated with the latter at Swartkrans, South Africa."
43,1.1,"In syntax, a verb is a word (part of speech) that usually denotes an action (bring, read), an occurrence (decompose, glitter), or a state of being (exist, stand)."
13,1.0,Sea snakes occur mainly in the Indian Ocean and the southwest Pacific.
17,1.1,He went on to author the animator's bible The Illusion of Life with Frank Thomas.
13,1.2,"Launched in 1994, InStyle currently has a circulation of 1.7 million."
14,1.0,This can be mitigated by using multiple Kerberos servers and fallback authentication mechanisms.
17,1.1,This is also the origin of the terms ante meridiem and post meridiem as noted below.
30,1.5,He proceeded to score in Celtic's 1 0 UEFA Champions League win against Copenhagen from the penalty spot and netted two in the 3 0 win over Benfica.
11,1.1,Kerberos protocol messages are protected against eavesdropping and replay attacks.
33,1.6,"Bagnotar is bounded by the following union councils, to the north by Sarbhana, to the east and to the south by Namli Maira, and to the west by Bagh."
19,1.3,"It crossed the Florida peninsula that night, causing the issuance of numerous severe thunderstorm and tornado warnings."
17,1.0,"The station, and all trains serving it, are operated by National Express East Anglia."
23,1.0,Tag team match for the World Tag Team Championship 08: 51 2 Chavo Guerrero (c) defeated Jimmy Wang Yang.
14,1.1,"Tarvos, or Saturn XXI, is a prograde irregular satellite of Saturn."
20,1.3,A small community formed that same year about 4 miles (6 km) east of the present city.
42,1.7,"Super Mario RPG: Legend of the Seven Stars, often shortened and officially known in Japan as, is a hybrid adventure / console role-playing game developed and published by Square (now Square Enix) and Nintendo."
18,1.3,"Some of the characters are fully fictional, although they may have been based on actual persons."
31,1.4,"In a departure from his usual repertoire, he sang ""You'll Never Walk Alone"" from the Broadway musical Carousel at the Berlin Live 8 concert in 2005."
15,1.0,"In addition, many feel that they are being pathologized for simply being different."
12,1.2,Celestus fowleri is a species of lizard in the Anguidae family.
30,1.4,"By the 1990s, the end of the cold war and normalisation of relations between some countries improved the prospects for creating a rail network across the Asian continent."
33,1.5,"History and mandate The Drug Enforcement Administration was established on 1 July 1973, by Reorganization Plan No. 2 of 1973, signed by President Richard Nixon on 28 March 1973."
25,1.3,"The National Coat of Arms of Denmark consists of three crowned blue lions accompanied by nine red hearts, all in a golden shield."
39,1.5,"However, admirals have always needed additional facilities; a meeting room large enough to hold all the captains of the fleet, and a place for the admiral's staff to make plans and draw up orders."
17,1.3,"The San Antonio Spurs are an American professional basketball team based in San Antonio, Texas."
15,1.0,Implementations SSL and TLS have been widely implemented in several open source software projects.
33,1.3,"Other Mario sports games include the Camelot-developed series Mario Golf and Mario Tennis, and, respectively, the baseball and soccer games Mario Superstar Baseball and Super Mario Strikers."
29,1.2,"Today I Feel Silly, and Other Moods That Make My Day, 1998; listed on the New York Times best-seller list for 9 weeks."
26,1.5,"Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam (see Sunni-Shia relations, for example) exist."
15,1.3,This split the tigers into two groups which then went on to develop independently.
30,1.8,"The area was the home of the Soanian Culture, which is evidenced by the discovery of fossils, tools, coins, and remains of ancient archaeological sites."
16,1.1,The genome includes both the genes and the non-coding sequences of the DNA.
23,1.8,"Melodifestivalen 2008 On february 23 Oliv participated in Melodifestivalen 2008, as she played cello during Mickey Huskic entry in semifinal three."
23,1.5,"Muslims performing i'tikaf are required to stay within the mosque for ten consecutive days, often in worship or learning about Islam."
29,1.4,These somewhat abstract concerns tend to determine some but not all details of a specific concrete market system where buyers and sellers actually meet and commit to trade.
17,1.2,Free Lossless Audio Codec (FLAC) is a file format for lossless audio data compression.
29,1.7,"On December 19, 2006, a large white plume of condensing steam was observed, leading some media people to assume there had been a small eruption."
15,1.0,Many of the municipalities in the area receive their drinking water directly from Vättern.
15,1.4,"He resumed his post in July, with no apparent reduction in his ruthlessness."
19,1.5,"Lady Agnes Hay's son, Alexander Duff, married Princess Louise, daughter of King Edward VII."
23,1.5,"Santiago, is the capital and largest city of Chile, and the center of its largest conurbation (Greater Santiago)."
14,1.0,Selling out is often seen as gaining success at the cost of credibility.
24,1.2,"It is 78% nitrogen and 21% oxygen, with trace amounts of water vapor, carbon dioxide and other gaseous molecules."
27,2.0,"He returns in the 2007 series of Doctor Who, reuniting with the tenth incarnation of the Doctor, and returned again for the 2008 series."
18,1.2,"Luciano Spinosi (born May 9, 1950, Rome) is an Italian former football player."
13,1.0,Etymology This bird's name commemorates the American ornithologist George Newbold Lawrence.
18,1.4,Punt Road underpasses directly under the station via a major interchange with Swan Street and Brunton Avenue.
17,1.4,History The district was formed in 1994 by merging the two previous districts Marienberg and Zschopau.
31,1.3,"On January 4, 1999, Mick Foley, who had wrestled for WCW during the early 1990s as Cactus Jack, won the WWF Title as Mankind on Raw."
31,1.9,"Taylor walks around the scene spectating without interacting with Jordison or the females, there is a moment in which Jordison is looking in a mirror and Taylor suddenly appears."
21,1.5,"These optional movements were known as galanteries: common examples are the minuet, gavotte, passepied, and bourree."
11,1.1,"The little book was widely read, especially at Paray."
19,1.2,The barracks were constructed from large sandstone blocks and carved out of the existing rock on the headland.
19,1.5,"Frederick Hubbard ""Fred"" Gwynne (10 July 1926 2 July 1993) was an American actor."
22,1.1,"They are also scheduled to play Roskilde, Rock am Ring, Pinkpop, Give It A Name Festival and Download."
24,2.0,2002: shuttle bus service is replaced by the suspended monorail called the SkyTrain connects the terminal building with the InterCity train station.
22,1.1,"Approximately half the size of Taiwan, it has a land area of 18,575.5 square kilometres (7,172 sq mi)."
31,1.4,"Reality television is a genre of television programming that presents purportedly unscripted dramatic or humorous situations, documents actual events, and usually features ordinary people instead of professional actors."
22,1.8,"The wolf in bottom stands for the former administrative seat Pritzwalk, as walk derives from the slavonic wolk meaning wolf."
15,1.0,Fossils Canowindra is the site of one of the world's great fossil discoveries.
26,1.3,"In it he explains that Christ has two qnome (essences), which are unmingled and eternally united in one parsopa (personality)."
12,1.1,The structure was designed by the Greek architects Satyros and Pythis.
20,1.0,"By 8.30 pm he had attracted the attention of the watchman for the Maritime Service Board, James Cargill."
17,1.0,It originated as the title of independent princes of Wales in the 12th and 13th centuries.
12,1.0,It serves as an original source of information about the topic.
13,1.0,The most common side effects of taking methylphenidate are nervousness and insomnia.
29,1.7,"In the match, Kenny grabbed a steel chair and inserted the chair on Triple H's left knee, similar to what the group did to Michaels."
14,1.1,Its elongation led to the suggestion that Eunomia may be a binary object.
22,1.4,"The impacts appear to have spalled large volumes off the asteroid, as suggested by the angular edges of the craters."
31,1.7,"Roman conquest Judea lost its independence to the Romans in the 1st century BCE, by becoming first a tributary kingdom, then a province, of the Roman Empire."
21,1.1,The females have the unique ability to delay birth of their baby until their previous Joey has left the pouch.
12,1.0,The Manchu ethnicity has largely been assimilated with the Han Chinese.
28,1.5,"Clinical trials with ALS patients showed that Riluzole lengthens survival by several months, and may have a greater survival benefit for those with a bulbar onset."
17,1.0,"He said he would attend a third questioning session soon upon his return to Israel ""."
36,1.7,"Orenthal James ""O. J."" Simpson (born July 9, 1947), nicknamed ""The Juice"", is a retired American football player, actor, spokesman, and convicted felon."
22,1.5,"This marked the beginning of the line of contact between Soviet and American forces, but not the finalized occupation zones."
29,1.6,"The AES ciphers have been analyzed extensively and are now used worldwide, as was the case with its predecessor, the Data Encryption Standard (DES)."
28,1.4,"Carpets, rugs, velvet, velour, and velveteen, are made by interlacing a secondary yarn through woven cloth, creating a nap or pile."
14,1.0,To cater for the growth in Cranbourne several primary schools have been proposed.
11,1.0,The collective term for all types of ammunition is munitions.
18,1.2,Osbourne later became a judge on the talent shows The X Factor and America's Got Talent.
15,1.1,"Bangui manufactures include textiles, food products, beer, shoes, and soap."
17,1.4,He earned a doctorate in 1950 with a 28 page dissertation on non-cooperative games.
18,1.4,"Pontedera is an Italian industrial town in Tuscany, Italy, in the administrative province of Pisa."
14,1.2,In addition there are 10 ground-level stations and four above ground.
20,1.2,"Sir Simon Denis Rattle, CBE, FRSA, (born 19 January 1955) is an English conductor."
24,1.4,"Lothar (""Emma"") Emmerich (29 November 1941 13 August 2003) was a German football (soccer) player."
39,1.4,"After a version of a software package has remained in unstable for a certain length of time (depending on the urgency of the software's changes), that package is automatically migrated to the testing distribution."
15,1.2,"When South Africa became a republic in 1961, Pretoria remained its administrative capital."
29,1.1,"A fundamental connection was noticed between the module theory, and the p-adic L-functions that were defined in the 1960s by Kubota and Leopoldt."
21,1.0,"Progress in developing the TAR was hindered by political and economic obstacles throughout the 1960s, 1970s and early 1980s."
36,1.3,"1263 - The chieftains of the eastern part of Iceland become the last to pledge fealty to the Norwegian king, bringing a more complete end to the Icelandic Commonwealth and the Icelandic civil war."
15,1.1,"Originally made for the Apple II, they were later ported to other platforms."
20,1.1,"John Lennon and Yoko Ono conduct their Bed-In at the Queen Elizabeth Hotel in Montreal, Quebec."
15,1.0,Eventually 58 of her 77 published works first appeared in the journal's pages.
19,1.3,"History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail."
11,1.3,"She agreed, and light was restored to the earth."
19,1.0,Microsoft phased out all development of its Java Virtual Machine (JVM) from Windows 2000 in SP3.
8,1.0,Many women begin their careers in adulthood.
27,1.5,"Kevin Ferguson (born February 8, 1974), better known as Kimbo Slice, is a Bahamian-American mixed-martial arts fighter."
27,1.7,To the north the canton is bounded by the Swiss cantons of Vaud and Bern; the cantons of Uri and Ticino lie to its east.
12,1.0,"South Somerset is a local government district in Somerset, England."
18,1.3,"They are distinguished from the higher plants by a lack of true roots, stems or leaves."
16,1.1,Approximately ten percent of the known runestones announce the travels and deaths of men abroad.
14,1.0,His late life was marked by stereo recordings with the Columbia Symphony Orchestra.
12,1.0,A similar provision can be seen today at Château de Tarascon.
18,1.0,"She also visits mainland of China, Hong Kong, Malaysia and Singapore frequently for promotional rounds."
32,1.5,"There are also four stations, reserved for future service: Volokolamskaya of Tagansko-Krasnopresnenskaya line, Delovoi Tsentr of Kalininskaya and Solntsevskaya lines and Park Pobedy of Solntsevskaya line."
28,1.4,"Career He studied with the English-born composer Henry Hugo Pierson in Stuttgart, and with William Sterndale Bennett and the pianist Edward Dannreuther in London."
30,1.6,"History The district was created on June 12, 1994 by merging the previous districts Röbel and Waren, and a few municipalities from the districts Malchin and Neustrelitz."
23,1.4,"It was erected to commemorate Constantine I's victory over Maxentius at the Battle of Milvian Bridge on October 28, 312."
12,1.1,"The video was premiered on MTV2 on July 14, 2006."
27,1.4,"James Howard ""Jim"" Thome (; born August 27, 1970 in) is a Major League Baseball designated hitter for the Chicago White Sox."
17,1.0,His work is often cited as the basis and motive for contemporary patriots and national activists.
19,1.6,"Surnames Aaron Schock, member of the U. S. House of Representatives representing the 18th district of Illinois."
10,1.0,The current president is Tarja Halonen (SDP).
17,1.1,The Census Bureau's legal authority is codified in Title 13 of the United States Code.
29,1.3,Some beverage products such as ales and stouts e. g. Guinness rely on this effect to produce the 'head' on the surface of the poured product.
20,1.6,"Originally she was viewed as the protector goddess of Lower Egypt, and consequently depicted as a fierce lioness."
12,1.0,Mechanical properties of nanosystems are of interest in the nanomechanics research.
16,1.2,"In 2006, Phil Downing left the band, citing communication problems with other members."
9,1.0,Variant spellings in English include felafel and filafil.
29,1.6,"In private, Hindenburg often complained that he missed the quiet of his retirement and bemoaned that he had allowed himself to be pressured into running for President."
18,1.2,The Giant Hispaniolan Galliwasp (Celestus warreni) is a species of lizard in the Anguidae family.
16,1.1,There he played on his only album with the band One Hot Minute in 1995.
11,1.0,Only traits that help us survive and reproduce are transmitted.
21,1.4,The administration of the port is carried out by the Karachi Port Trust which was established in the nineteenth century.
19,1.2,"A large proportion of block ciphers use the scheme, including the Data Encryption Standard (DES)."
22,1.0,"Gothic architecture is most familiar as the architecture of many of the great cathedrals, abbeys and parish churches of Europe."
31,1.5,"A Storm of Swords is the third of seven planned novels in A Song of Ice and Fire, an epic fantasy series by American author George R. R. Martin."
10,1.0,They can be distinguished from butterflies in several ways.
22,1.3,"Some academic journals do refer to Wikipedia articles, but are not elevating it to the same level as traditional references."
22,1.0,It took three months and 250 soldiers to roll the gun barrels all the way from North Sydney to the batteries.
31,1.3,"At Saturday Night's Main Event, Batista won a six man tag match with Rey Mysterio and Bobby Lashley taking on King Booker, Finlay, and Mark Henry."
13,1.0,This volcano is well known for its ash explosions and pyroclastic flows.
17,1.2,Shatner also played the title veteran police sergeant in T. J. Hooker from 1982 to 1986.
18,1.0,"By early the next day, the remnants of Gabrielle were absorbed by an approaching cold front."
10,1.0,Economy The only economic activity of importance is agriculture.
43,1.9,"2003 – 2005 In 2003, he played a villainous role in the third installment of the Spy Kids trilogy Spy Kids 3 - D: Game Over which was a huge box office success (almost $200 million worldwide)."
17,1.2,"Following the death of Schidlof from a heart attack in 1987, the Amadeus Quartet disbanded."
18,1.1,Live at Wembley '86 is a double compact disc live album by English rock band Queen.
14,1.0,It is the fourth and final novel in his Hyperion Cantos fictional universe.
23,1.0,This was the first use of Franklin to name a tropical storm following the retirement of Hurricane Floyd of the 1999 season.
10,1.1,The first mayor of Gaborone was Reverend Derek Jones.
38,2.0,Tehsils & Unions in the District of Mardan - Government of Pakistan It is located at 34 ° 26 '0N 72 ° 3' 0E and has an altitude of 406 metres (1335 feet).
25,1.5,Much of the province lies in the plain of the Arno river and has thus become an exurban sprawl around the city of Florence.
9,1.0,There are currently over six hundred Linux distributions.
16,1.3,"Bisexual pornography differs from threesome pornography, which typically depicts one man and two women."
47,1.8,"The storm weakened over land on August 26 to a tropical storm, but regained strength to hurricane status at 2: 00 a. m. EDT (0600 UTC), approximately one hour after ending its passage through Florida and entering the Gulf of Mexico."
28,1.3,He was an exceptionally active campaigner and critic in the crisis years in Italy after the First World War and into the early years of Fascist rule.
8,1.0,Berlin and Paris developed thriving émigré communities.
25,1.1,If you do not accept that the early closure was a good thing please ask the editor who closed it to reverse their actions.
19,1.0,"After reviewing the documents, some historians suggest that Adams does not deserve equal credit with Le Verrier."
26,1.0,"In 326 BCE, most of the dozen-odd political units of the former Gandhara / Kamboja Mahajanapadas were conquered by the Macedonian conqueror."
24,1.8,"Special subscription plans are offered to schools, colleges and libraries; such institutional subscribers constitute an important part of Britannica's business."
29,1.6,"The endpoints where a continental divide meets the coast are not always definite, because the exact border between adjacent bodies of water is usually not clearly defined."
17,1.4,"It has a stopper at the top and stopcock (tap), at the bottom."
14,1.1,"Penshurst Place in Kent, England has a little altered 14th century example."
26,1.4,"In conceptual summary, a digital signal is a quantized discrete-time signal; a discrete-time signal is a sampled analog signal."
18,1.0,Jules captured footage of American Airlines Flight 11 hitting the North tower of the World Trade Center.
15,1.1,"On October 14, United States reconnaissance observed missile bases being built in Cuba."
37,1.5,"In 1187, Saladin defeated the armies of the Crusades at the Battle of Hattin, largely because he was able to cut the Crusaders off from the valuable fresh water of the Sea of Galilee."
16,1.2,Nearctic (1954 1973) was an Canadian-bred Hall of Fame Thoroughbred racehorse.
34,1.3,"Due to the lack of major effects from Hurricane Cindy, the name was not retired by the World Meteorological Organization and will be on the list of names for the 2011 season."
37,1.5,"Climate Tibooburra has an arid, desert climate with temperatures soaring above 40 ° Celsius (104 ° F) in summer, often reaching as high as 47 ° C (117 ° F)."
44,2.0,"Thirdly, for some color blind people, color can only be distinguished if there is a sufficient ""mass"" of color: thin lines might appear black while a thicker line of the same color can be perceived as having color."
